Method,Sensitivity (%),Specificity (%),Accuracy (%),F1 Score (%),MCC (%),auROC (%)
ContrastiveT5-Prompt20-Margin1.0-lam1.0,92.11469534,91.39784946,91.7562724,91.78571429,83.51469061,96.62966817
ContrastiveT5-Prompt20-Margin3.0-lam1.0,90.08363202,94.14575866,92.11469534,91.95121951,84.29896972,96.86940187
ContrastiveT5-Prompt20-Margin5.0-lam1.0,91.51732378,94.98207885,93.24970131,93.13069909,86.55136864,96.6841239
ContrastiveT5-Prompt20-Margin8.0-lam1.0,92.47,95.82,94.15,94.05,88.34,97.2
ContrastiveT5-Prompt20-Margin10.0-lam1.0,93.07048984,92.95101553,93.01075269,93.01492537,86.02156677,95.49252108
