Method,Sensitivity (%),Specificity (%),Accuracy (%),F1 Score (%),MCC (%),auROC (%)
ContrastiveT5-Prompt1-Margin8.0-lam1.0,90.44205496,94.62365591,92.53285544,92.37339841,85.14018059,95.85222869
ContrastiveT5-Prompt5-Margin8.0-lam1.0,89.96415771,95.34050179,92.65232975,92.44935543,85.4282143,96.17161193
ContrastiveT5-Prompt10-Margin8.0-lam1.0,88.64994026,95.10155317,91.87574671,91.60493827,83.92634016,96.46201873
ContrastiveT5-Prompt15-Margin8.0-lam1.0,90.32258065,94.38470729,92.35364397,92.19512195,84.77726175,95.64282747
ContrastiveT5-Prompt20-Margin8.0-lam1.0,92.47,95.82,94.15,94.05,88.34,97.2
ContrastiveT5-Prompt30-Margin8.0-lam1.0,91.39784946,93.07048984,92.23416965,92.1686747,84.48015775,96.20793955
ContrastiveT5-Prompt40-Margin8.0-lam1.0,92.23416965,93.90681004,93.07048984,93.01204819,86.15303216,96.87882279
ContrastiveT5-Prompt50-Margin8.0-lam1.0,89.0083632,96.2962963,92.65232975,92.37445753,85.53210941,96.38722239
